index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
12,Nathan Patterson,3.0,sct SCO,RB,20-294,90,0,0,0,0,0,0,0,0,49,4,0,0,0.0,0.0,0.0,3,0,34,38,89.5,2,23,0,3,1,,,,,,,,,,,,,,,,,,,,,1,6
13,Jordan Pickford,1.0,eng ENG,GK,28-152,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,21,38,55.3,0,31,0,0,0,6.0,1.0,5.0,100.0,1.9,8.0,24.0,33.3,33.0,5.0,63.6,43.5,5.0,60.0,51.2,24.0,2.0,8.3,4.0,19.0,1,6
0,Raheem Sterling,17.0,eng ENG,"FW,LW",27-241,90,0,0,0,0,3,0,0,0,38,1,0,1,0.2,0.2,0.1,5,0,19,27,70.4,5,33,4,5,3,,,,,,,,,,,,,,,,,,,,,0,6
1,Kai Havertz,29.0,de GER,LW,23-056,74,0,0,0,0,3,1,0,0,32,2,0,0,0.3,0.3,0.0,0,0,19,23,82.6,3,12,2,1,0,,,,,,,,,,,,,,,,,,,,,0,6
2,Armando Broja,18.0,al ALB,FW,20-330,16,0,0,0,0,1,1,0,0,8,0,0,1,0.0,0.0,0.0,1,0,2,4,50.0,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,,0,6
3,Mason Mount,19.0,eng ENG,RW,23-208,64,0,0,0,0,2,1,0,0,37,0,0,1,0.1,0.1,0.0,3,0,26,30,86.7,4,19,3,1,0,,,,,,,,,,,,,,,,,,,,,0,6
4,Christian Pulisic,10.0,us USA,RW,23-322,26,0,0,0,0,1,0,0,0,10,1,1,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,1,2,1,,,,,,,,,,,,,,,,,,,,,0,6
5,Ben Chilwell,21.0,eng ENG,LM,25-228,64,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,1,1,27,33,81.8,1,20,1,0,0,,,,,,,,,,,,,,,,,,,,,0,6
6,Ruben Loftus-Cheek,12.0,eng ENG,RM,26-195,26,0,0,0,0,0,0,0,0,19,2,0,1,0.0,0.0,0.0,1,0,9,12,75.0,1,7,0,1,0,,,,,,,,,,,,,,,,,,,,,0,6
7,Jorginho,5.0,it ITA,CM,30-229,89,1,0,1,1,0,0,0,0,81,0,0,3,0.8,0.0,0.1,3,0,60,72,83.3,6,49,1,0,0,,,,,,,,,,,,,,,,,,,,,0,6
8,Conor Gallagher,23.0,eng ENG,CM,22-181,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,6
9,N'Golo Kanté,7.0,fr FRA,CM,31-130,90,0,0,0,0,1,1,0,0,80,4,2,0,0.0,0.0,0.2,2,0,61,72,84.7,3,44,1,4,3,,,,,,,,,,,,,,,,,,,,,0,6
10,Reece James,24.0,eng ENG,"RM,CB,LM",22-241,90,0,0,0,0,2,0,1,0,97,1,1,0,0.1,0.1,0.2,6,0,69,89,77.5,5,39,3,1,1,,,,,,,,,,,,,,,,,,,,,0,6
11,Kalidou Koulibaly,26.0,sn SEN,CB,31-047,74,0,0,0,0,1,1,0,0,69,2,1,2,0.0,0.0,0.0,1,1,51,58,87.9,4,32,0,1,1,,,,,,,,,,,,,,,,,,,,,0,6
12,Marc Cucurella,32.0,es ESP,LM,24-015,16,0,0,0,0,0,0,1,0,23,1,0,0,0.0,0.0,0.1,2,0,17,21,81.0,1,14,0,1,1,,,,,,,,,,,,,,,,,,,,,0,6
13,Thiago Silva,6.0,br BRA,CB,37-318,90,0,0,0,0,0,0,0,0,88,1,3,2,0.0,0.0,0.0,1,0,67,76,88.2,9,48,1,0,0,,,,,,,,,,,,,,,,,,,,,0,6
14,César Azpilicueta,28.0,es ESP,CB,32-343,90,0,0,0,0,0,0,0,0,78,4,1,1,0.0,0.0,0.1,2,0,60,68,88.2,5,44,3,1,1,,,,,,,,,,,,,,,,,,,,,0,6
15,Edouard Mendy,16.0,sn SEN,GK,30-158,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,25,96.0,0,15,0,0,0,3.0,0.0,3.0,100.0,0.1,2.0,3.0,66.7,18.0,6.0,11.1,20.6,7.0,14.3,15.1,12.0,1.0,8.3,2.0,15.5,0,6
